[2025-10-17 13:36:23.905] [info]  DiscordSplash.signalReady
[2025-10-17 13:36:23.954] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-10-17 13:36:23.955] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-10-17 13:36:23.966] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-10-17 13:36:23.967] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-10-17 13:36:23.968] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-10-17 13:36:23.968] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-10-17 13:36:23.968] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-10-17 13:36:23.969] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-10-17 13:36:23.969] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-10-17 13:36:23.969] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-10-17 13:36:23.971] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-10-17 13:36:23.973] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-10-17 13:36:23.974] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-10-17 13:36:23.975] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-10-17 13:36:24.905] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:36:25.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:36:26.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:36:27.155] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-10-17 13:36:27.156] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-10-17 13:36:27.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:36:28.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:36:29.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:36:30.904] [info]  Splash.updateCountdownSeconds: undefined
